time,level,message
2026-02-19 19:06:36.430,ERROR,"10001 --- [nio-8080-exec-1] c.n.p.service.MeshDataService      : Creating asset with payload={""name"":""AssetAssetX"",""type"":""Stock""}"
2026-02-19 19:06:39.430,ERROR,"10004 --- [nio-8080-exec-17] c.n.p.controller.MeshDataController      : Asset created successfully, assetId=791"
2026-02-19 19:06:44.430,ERROR,10009 --- [nio-8080-exec-20] c.n.p.controller.MeshDataController      : Received GET request for /api/v1/health631
2026-02-19 19:06:46.430,ERROR,"10011 --- [nio-8080-exec-8] c.n.p.service.MeshDataService      : Asset created successfully, assetId=1020"
2026-02-19 19:06:54.430,ERROR,10019 --- [nio-8080-exec-12] c.n.p.service.MeshDataService      : Health check OK
2026-02-19 19:06:56.430,ERROR,10021 --- [nio-8080-exec-14] c.n.p.controller.MeshDataController      : Asset creation took longer than expected (duration=2832ms)
2026-02-19 19:07:01.430,ERROR,10026 --- [nio-8080-exec-8] c.n.p.controller.MeshDataController      : Successfully returned account details for accountId=218
2026-02-19 19:07:04.430,ERROR,"10029 --- [nio-8080-exec-3] c.n.p.service.MeshDataService      : Failed to delete asset, assetId=150, reason=Asset in use"
2026-02-19 19:07:17.430,ERROR,10042 --- [nio-8080-exec-5] c.n.p.controller.MeshDataController      : Successfully returned account details for accountId=1065
2026-02-19 19:07:23.430,ERROR,"10048 --- [nio-8080-exec-19] c.n.p.service.MeshDataService      : Failed to delete asset, assetId=595, reason=Asset in use"
2026-02-19 19:07:38.430,ERROR,10063 --- [nio-8080-exec-8] c.n.p.controller.MeshDataController      : Fetching asset details for assetId=298
2026-02-19 19:07:39.430,ERROR,10064 --- [nio-8080-exec-15] c.n.p.controller.MeshDataController      : Asset creation took longer than expected (duration=1609ms)
2026-02-19 19:07:54.430,ERROR,10079 --- [nio-8080-exec-6] c.n.p.service.MeshDataService      : Asset creation took longer than expected (duration=2614ms)
2026-02-19 19:07:58.430,ERROR,"10083 --- [nio-8080-exec-15] c.n.p.service.MeshDataService      : Asset created successfully, assetId=321"
2026-02-19 19:07:59.430,ERROR,"10084 --- [nio-8080-exec-3] c.n.p.controller.MeshDataController      : Failed to return account details for accountId=795, status=404"
2026-02-19 19:08:02.430,ERROR,"10087 --- [nio-8080-exec-18] c.n.p.service.MeshDataService      : Creating asset with payload={""name"":""AssetAssetG"",""type"":""Stock""}"
2026-02-19 19:08:03.430,ERROR,10088 --- [nio-8080-exec-10] c.n.p.service.MeshDataService      : Deleting asset with assetId=378
2026-02-19 19:08:06.430,ERROR,"10091 --- [nio-8080-exec-19] c.n.p.service.MeshDataService      : Creating asset with payload={""name"":""AssetAssetB"",""type"":""MutualFund""}"
2026-02-19 19:08:07.430,ERROR,10092 --- [nio-8080-exec-8] c.n.p.controller.MeshDataController      : Asset creation took longer than expected (duration=1747ms)
2026-02-19 19:08:08.430,ERROR,"10093 --- [nio-8080-exec-17] c.n.p.controller.MeshDataController      : Validation failed for accountId=575, reason=Invalid phone number"
2026-02-19 19:08:09.430,ERROR,10094 --- [nio-8080-exec-19] c.n.p.controller.MeshDataController      : Asset not found for assetId=852
2026-02-19 19:08:12.430,ERROR,"10097 --- [nio-8080-exec-11] c.n.p.service.MeshDataService      : Failed to update account accountId=428, status=400"
2026-02-19 19:08:13.430,ERROR,"10098 --- [nio-8080-exec-15] c.n.p.controller.MeshDataController      : Failed to update account accountId=320, status=400"
2026-02-19 19:08:25.430,ERROR,"10110 --- [nio-8080-exec-17] c.n.p.controller.MeshDataController      : Failed to update account accountId=459, status=400"
2026-02-19 19:08:28.430,ERROR,10113 --- [nio-8080-exec-4] c.n.p.controller.MeshDataController      : Asset creation took longer than expected (duration=2328ms)
2026-02-19 19:08:35.430,ERROR,"10120 --- [nio-8080-exec-1] c.n.p.controller.MeshDataController      : Failed to return asset details for assetId=1031, status=404"
2026-02-19 19:08:40.430,ERROR,"10125 --- [nio-8080-exec-14] c.n.p.service.MeshDataService      : Failed to return account details for accountId=838, status=404"
2026-02-19 19:08:43.430,ERROR,"10128 --- [nio-8080-exec-14] c.n.p.service.MeshDataService      : Failed to update account accountId=393, status=400"
2026-02-19 19:08:45.430,ERROR,"10130 --- [nio-8080-exec-10] c.n.p.service.MeshDataService      : Failed to update account accountId=966, status=400"
2026-02-19 19:08:49.430,ERROR,"10134 --- [nio-8080-exec-7] c.n.p.service.MeshDataService      : Validation failed for accountId=616, reason=Invalid phone number"
2026-02-19 19:08:54.430,ERROR,10139 --- [nio-8080-exec-11] c.n.p.service.MeshDataService      : Health check OK
2026-02-19 19:08:56.430,ERROR,10141 --- [nio-8080-exec-5] c.n.p.service.MeshDataService      : Health check OK
2026-02-19 19:08:58.430,ERROR,10143 --- [nio-8080-exec-15] c.n.p.service.MeshDataService      : Deleting asset with assetId=891
2026-02-19 19:08:59.430,ERROR,10144 --- [nio-8080-exec-10] c.n.p.controller.MeshDataController      : Account not found for accountId=992
2026-02-19 19:09:02.430,ERROR,10147 --- [nio-8080-exec-13] c.n.p.controller.MeshDataController      : Account not found for accountId=1078
2026-02-19 19:09:04.430,ERROR,10149 --- [nio-8080-exec-1] c.n.p.controller.MeshDataController      : Health check OK
2026-02-19 19:09:07.430,ERROR,"10152 --- [nio-8080-exec-15] c.n.p.service.MeshDataService      : Failed to return account details for accountId=842, status=404"
2026-02-19 19:09:10.430,ERROR,10155 --- [nio-8080-exec-20] c.n.p.controller.MeshDataController      : Account not found for accountId=743
